ID,LABEL
OBZIRAIT,0.2317247986793518
IUYQGMUM,0.8734204769134521
KUTPOASE,0.567790687084198
OUDDWOML,0.3274245858192444
CGBUGUQW,0.27674171328544617
FTBBVMHK,0.8854893445968628
OPSQITNE,0.27000120282173157
WVTDEKEX,0.17876900732517242
NNJUQOYL,0.2807627022266388
KIRUHEIC,0.9140720367431641
CIGNXREQ,0.2584133744239807
VRKXUDSO,0.14283417165279388
RQZCAYRX,0.3967949450016022
IACYLJXI,0.9627891778945923
EBGJIADB,0.4952167868614197
RMTPXZVC,0.41735178232192993
MCIMQNFQ,0.4239102900028229
FUYAZRWU,0.27370667457580566
LGUSGVBE,0.5434554815292358
KBAKWKNW,0.7258440852165222
FWEHCLXU,0.2929168939590454
SMENQGVO,0.8570197820663452
XFBRFQRL,0.23461508750915527
SIEWUKNU,0.8434058427810669
PCPQBVFW,0.5055785179138184
UHRZNUCQ,0.6078919172286987
XFWKEWYK,0.29344847798347473
NVCFDCZE,0.21022002398967743
KYKYIYJU,0.22101201117038727
ULEJXJXQ,0.8006041049957275
RTAHZTRY,0.3843458890914917
IBJJCNUL,0.34388211369514465
AVXLCBJH,0.4113454520702362
CMJPTDMO,0.6095434427261353
XSPSFLYM,0.5415360331535339
QTFSSMGD,0.18765217065811157
AIJRYHWY,0.36016586422920227
AAKRKIZP,0.7705530524253845
CQGHATNA,0.4994107186794281
QGQBPWLJ,0.20476476848125458
QKBVQVUQ,0.40521225333213806
ONZZVNYO,0.37510329484939575
UXFTRJWE,0.999535322189331
KGOETYSK,0.19221951067447662
TUSENBWD,0.953056812286377
NMXAIQPW,0.4448185861110687
TMFAGLAS,0.5512083172798157
GBGGZUCR,0.24027962982654572
GKTPBGZP,0.32933926582336426
RIHEHUTM,0.2097781002521515
QUUDWCHL,0.9839043617248535
ACPRJNQA,0.2671983540058136
EFNICHKM,0.4213448464870453
WTATMMWS,0.34201839566230774
CHDDLHBE,0.2560897767543793
LPFSZWIK,0.9936594367027283
NQRJCNWO,0.3647913634777069
HIJQIQJT,0.7479591369628906
MQVOPYYH,0.3420867323875427
KVHDQRUE,0.9747732281684875
PACSUFQI,0.2606307566165924
XZCNSJAC,0.9579344391822815
RNEYKHMR,0.9464234113693237
HNRQLBBN,0.38776448369026184
OQZHUNYA,0.47463035583496094
LWOMGDGX,0.24944226443767548
TBLBHSYT,0.5466833710670471
FJQDGUND,0.5843537449836731
BBWIVFOO,0.957642674446106
JAUGWQFK,0.3335939347743988
HLQHFYIS,0.967719316482544
BPMOOTCZ,0.9848805665969849
OZGPKWXR,0.2622372508049011
NAFSBYVK,0.8126890659332275
ZKETEOFG,0.38188713788986206
PKNRNBBA,0.19836294651031494
ZPPGWFUO,0.9756473302841187
JUQVMIEU,0.3422267436981201
FHZJFRTA,0.6415836215019226
VXDFSKHL,0.7863538265228271
KHIMVBMD,0.9669163823127747
GTWSHFYQ,0.49952834844589233
